YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,14,8,3.34,80.69,10.45
2016,1,14,9,2.76,71.38,12.05
2016,1,14,10,1.63,60.56,13.87
2016,1,14,11,2.02,55.06,15.33
2016,1,14,12,3.23,51.94,16.07
2016,1,14,13,4.0,51.25,15.95
2016,1,14,14,4.48,52.5,15.39
2016,1,14,15,4.55,56.88,14.34
2016,1,14,16,3.5,69.88,12.43
2016,1,14,17,2.98,78.75,10.71
2016,1,14,18,3.0,82.44,10.27
2016,1,14,19,2.87,84.69,9.95
2016,1,14,20,2.54,84.69,9.89
2016,1,14,21,2.44,84.25,9.94
2016,1,14,22,2.42,84.12,10.03
2016,1,14,23,2.4,83.19,10.07
2016,1,15,0,2.35,82.75,9.97
2016,1,15,1,2.34,82.69,9.98
2016,1,15,2,2.27,84.81,9.94
2016,1,15,3,2.38,89.0,9.97
2016,1,15,4,2.67,95.69,10.09
2016,1,15,5,2.64,99.19,10.37
2016,1,15,6,2.48,100.0,10.65
2016,1,15,7,2.49,98.62,11.12
2016,1,15,8,3.14,93.31,12.33
2016,1,15,9,3.6,88.44,13.21
2016,1,15,10,3.66,80.81,13.98
2016,1,15,11,3.31,71.5,14.84
2016,1,15,12,2.67,64.06,15.44
2016,1,15,13,2.17,62.0,15.48
2016,1,15,14,1.97,62.19,15.24
2016,1,15,15,1.83,64.19,14.91
2016,1,15,16,1.78,74.12,13.48
2016,1,15,17,2.29,77.62,11.89
2016,1,15,18,2.4,82.12,11.3
2016,1,15,19,2.32,85.06,10.89
2016,1,15,20,2.08,85.5,10.59
2016,1,15,21,1.9,84.69,10.27
2016,1,15,22,1.8,82.31,10.04
2016,1,15,23,1.8,78.81,9.94
2016,1,16,0,1.81,75.69,9.89
2016,1,16,1,1.51,70.62,10.43
2016,1,16,2,1.48,69.44,10.79
2016,1,16,3,1.96,71.56,10.76
2016,1,16,4,2.26,74.0,10.58
2016,1,16,5,2.34,74.56,10.66
2016,1,16,6,2.05,74.88,10.73
2016,1,16,7,1.36,74.75,11.27
2016,1,16,8,0.84,73.44,12.67
2016,1,16,9,0.74,70.19,13.68
2016,1,16,10,1.17,71.38,14.93
2016,1,16,11,2.02,72.25,15.97
2016,1,16,12,2.7,70.94,16.48
2016,1,16,13,3.08,72.06,16.33
2016,1,16,14,3.11,73.94,16.08
2016,1,16,15,2.61,77.31,15.69
2016,1,16,16,1.65,85.75,14.47
2016,1,16,17,1.75,90.12,13.34
2016,1,16,18,2.09,91.62,13.05
2016,1,16,19,2.2,92.0,12.9
2016,1,16,20,1.95,92.12,12.69
2016,1,16,21,1.74,91.56,12.45
2016,1,16,22,1.55,91.44,12.16
2016,1,16,23,1.42,91.06,12.06
2016,1,17,0,1.61,90.5,11.93
2016,1,17,1,1.76,90.0,11.81
2016,1,17,2,1.67,88.94,11.9
2016,1,17,3,1.61,88.75,11.83
2016,1,17,4,1.49,89.12,11.69
2016,1,17,5,1.29,89.62,11.55
2016,1,17,6,1.25,90.5,11.46
2016,1,17,7,1.02,89.75,11.72
2016,1,17,8,1.06,84.62,13.11
2016,1,17,9,0.75,75.94,14.93
2016,1,17,10,0.39,69.12,16.25
2016,1,17,11,1.08,69.88,16.44
2016,1,17,12,1.71,72.62,16.29
2016,1,17,13,2.07,74.56,16.23
2016,1,17,14,1.99,75.88,16.06
2016,1,17,15,1.84,78.0,15.62
2016,1,17,16,1.38,84.88,14.35
2016,1,17,17,1.26,90.0,13.07
2016,1,17,18,1.17,90.12,13.01
2016,1,17,19,1.29,90.31,12.85
2016,1,17,20,1.53,91.0,12.64
2016,1,17,21,1.61,90.88,12.62
2016,1,17,22,1.36,89.19,12.83
2016,1,17,23,1.29,88.62,12.9
2016,1,18,0,1.29,89.69,12.69
2016,1,18,1,1.06,89.81,12.58
2016,1,18,2,0.69,89.94,12.46
2016,1,18,3,0.34,88.62,12.56
2016,1,18,4,0.76,90.69,12.26
2016,1,18,5,1.01,95.12,11.81
2016,1,18,6,1.04,96.88,11.89
2016,1,18,7,1.32,99.0,11.88
2016,1,18,8,1.88,94.81,13.01
2016,1,18,9,2.56,90.94,13.66
2016,1,18,10,3.12,88.38,14.02
2016,1,18,11,3.57,87.81,14.21
2016,1,18,12,3.62,89.38,14.11
2016,1,18,13,3.4,90.81,14.05
2016,1,18,14,3.27,91.62,14.09
2016,1,18,15,2.7,92.38,14.09
2016,1,18,16,1.63,95.5,13.56
2016,1,18,17,1.25,97.38,13.02
2016,1,18,18,1.07,97.88,12.79
2016,1,18,19,1.32,98.94,12.38
2016,1,18,20,1.26,98.56,12.26
2016,1,18,21,0.96,97.75,12.19
2016,1,18,22,0.74,96.44,12.28
2016,1,18,23,0.91,96.75,12.03
2016,1,19,0,0.99,95.88,12.01
2016,1,19,1,0.85,94.62,12.01
2016,1,19,2,0.65,93.12,12.08
2016,1,19,3,0.71,91.94,12.14
2016,1,19,4,0.78,91.69,12.08
2016,1,19,5,0.88,91.81,12.12
2016,1,19,6,1.55,93.62,11.94
2016,1,19,7,2.18,94.62,12.07
2016,1,19,8,2.83,94.0,12.8
2016,1,19,9,3.65,94.31,13.13
2016,1,19,10,4.12,94.69,13.44
2016,1,19,11,4.66,94.62,13.8
2016,1,19,12,5.02,95.0,13.83
2016,1,19,13,4.99,94.88,13.9
2016,1,19,14,4.64,94.88,14.02
2016,1,19,15,4.21,95.44,14.05
2016,1,19,16,3.49,96.81,13.82
2016,1,19,17,2.73,98.19,13.43
2016,1,19,18,2.4,98.44,13.37
2016,1,19,19,1.67,98.81,13.09
2016,1,19,20,1.05,97.75,13.14
2016,1,19,21,0.95,97.44,13.06
2016,1,19,22,0.9,96.88,13.02
2016,1,19,23,0.63,96.19,13.05
2016,1,20,0,0.59,96.06,12.84
2016,1,20,1,0.59,95.94,12.6
2016,1,20,2,0.54,95.5,12.48
