YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,26,5,0.95,85.31,8.23
2016,1,26,6,0.9,83.69,8.48
2016,1,26,7,0.83,85.12,8.26
2016,1,26,8,0.3,93.06,9.13
2016,1,26,9,0.15,88.62,11.6
2016,1,26,10,0.13,81.62,13.57
2016,1,26,11,0.13,73.5,14.27
2016,1,26,12,0.13,69.62,14.07
2016,1,26,13,0.12,70.44,14.01
2016,1,26,14,0.09,70.44,14.06
2016,1,26,15,0.07,74.06,13.48
2016,1,26,16,0.12,89.69,11.74
2016,1,26,17,0.38,91.12,10.4
2016,1,26,18,0.22,88.81,10.48
2016,1,26,19,0.2,89.0,10.44
2016,1,26,20,0.31,89.94,10.33
2016,1,26,21,0.24,90.69,10.15
2016,1,26,22,0.21,92.06,9.73
2016,1,26,23,0.52,94.44,8.88
2016,1,27,0,0.65,98.81,7.51
2016,1,27,1,0.53,100.0,6.9
2016,1,27,2,0.4,100.0,6.58
2016,1,27,3,0.32,99.44,6.58
2016,1,27,4,0.3,97.62,6.59
2016,1,27,5,0.33,96.31,6.52
2016,1,27,6,0.34,95.12,6.48
2016,1,27,7,0.37,93.75,6.62
2016,1,27,8,0.33,85.69,8.4
2016,1,27,9,0.22,79.62,9.96
2016,1,27,10,0.17,71.06,12.0
2016,1,27,11,0.12,63.81,13.82
2016,1,27,12,0.1,59.81,14.91
2016,1,27,13,0.09,58.62,15.42
2016,1,27,14,0.07,60.25,15.37
2016,1,27,15,0.06,67.75,14.72
2016,1,27,16,0.07,75.62,13.44
2016,1,27,17,0.41,78.12,11.51
2016,1,27,18,0.58,81.19,10.87
2016,1,27,19,0.66,83.62,10.48
2016,1,27,20,0.63,84.88,10.21
2016,1,27,21,0.43,84.56,10.24
2016,1,27,22,0.23,83.88,10.31
2016,1,27,23,0.19,84.0,10.29
2016,1,28,0,0.67,87.12,9.51
2016,1,28,1,0.86,92.69,8.21
2016,1,28,2,0.72,95.81,7.45
2016,1,28,3,0.64,95.69,7.3
