YEAR,MO,DY,HR,WS2M,RH2M,T2M
2016,1,17,7,2.71,97.19,12.43
2016,1,17,8,2.74,96.75,12.74
2016,1,17,9,2.93,95.56,13.47
2016,1,17,10,3.16,92.56,14.28
2016,1,17,11,3.19,89.12,14.54
2016,1,17,12,3.22,86.12,14.78
2016,1,17,13,2.89,84.56,14.68
2016,1,17,14,2.71,85.25,14.47
2016,1,17,15,2.48,87.62,14.01
2016,1,17,16,1.82,93.12,12.95
2016,1,17,17,1.65,96.0,12.3
2016,1,17,18,1.85,96.25,12.27
2016,1,17,19,1.97,96.62,12.19
2016,1,17,20,2.11,96.62,12.11
2016,1,17,21,2.26,96.38,12.13
2016,1,17,22,2.11,96.56,12.07
2016,1,17,23,1.85,96.81,12.08
2016,1,18,0,1.37,97.75,11.92
2016,1,18,1,1.26,98.38,11.83
2016,1,18,2,1.54,98.0,12.1
2016,1,18,3,2.32,97.0,12.34
2016,1,18,4,3.18,95.69,11.79
2016,1,18,5,2.54,95.06,10.3
2016,1,18,6,0.93,93.81,9.05
2016,1,18,7,0.33,85.44,9.55
2016,1,18,8,0.59,83.0,11.11
2016,1,18,9,0.88,69.31,14.23
2016,1,18,10,1.35,61.56,15.65
2016,1,18,11,1.97,60.12,16.61
2016,1,18,12,2.57,61.44,16.92
2016,1,18,13,2.42,64.56,16.58
2016,1,18,14,2.07,68.44,16.11
2016,1,18,15,1.38,75.62,15.3
2016,1,18,16,0.57,87.69,13.92
2016,1,18,17,0.71,87.06,12.79
2016,1,18,18,0.74,86.44,12.58
2016,1,18,19,0.78,86.94,12.26
2016,1,18,20,0.88,88.19,11.77
2016,1,18,21,0.85,91.06,11.5
2016,1,18,22,0.84,93.19,11.51
2016,1,18,23,0.94,93.31,11.52
2016,1,19,0,1.1,93.56,11.42
2016,1,19,1,1.48,93.56,11.41
2016,1,19,2,2.1,93.75,11.4
2016,1,19,3,2.38,94.88,11.29
2016,1,19,4,2.95,95.31,11.3
2016,1,19,5,3.7,95.25,11.58
2016,1,19,6,3.91,95.31,12.16
2016,1,19,7,4.15,95.31,12.46
2016,1,19,8,4.51,94.62,12.96
2016,1,19,9,5.16,94.44,13.95
2016,1,19,10,5.34,94.31,14.8
2016,1,19,11,5.33,92.38,15.6
2016,1,19,12,5.58,87.69,15.8
2016,1,19,13,5.07,84.56,15.08
2016,1,19,14,4.41,84.0,14.58
2016,1,19,15,3.89,87.88,13.76
2016,1,19,16,2.55,93.94,12.74
2016,1,19,17,1.28,98.31,11.5
2016,1,19,18,0.85,97.69,10.91
2016,1,19,19,0.7,96.62,10.72
2016,1,19,20,0.7,95.88,10.43
